Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8
0.9149294,6.6126045e-06,5.944449e-06,0.00020259894,0.084855005,3.916163e-09,1.6889226e-07,6.229979e-08,1.2594501e-08
0.99113363,4.1030777e-05,0.00027679943,0.001727148,0.0068194363,4.8378137e-08,1.2945891e-06,5.5806584e-07,1.1334e-07
0.9990362,2.4351888e-07,2.6928939e-08,4.0462368e-05,0.00092306035,1.4418345e-11,3.0446856e-09,7.526027e-10,6.922726e-11
0.8253012,0.00055406115,0.0017363281,0.0003339621,0.17207192,5.948438e-08,1.544448e-06,5.59742e-07,1.6517215e-07
0.9811447,7.345196e-05,0.000351418,0.014309238,0.004118153,6.297847e-08,2.0307696e-06,7.6135854e-07,1.6794274e-07
0.95915866,3.4400123e-06,5.8926986e-07,1.3578382e-05,0.040823743,1.7926634e-10,1.951253e-08,5.3037894e-09,6.644932e-10
0.9708388,0.00010840697,0.002169521,0.014762666,0.012112116,2.892812e-07,4.8268507e-06,2.4972999e-06,7.6647314e-07
0.9910007,3.8017002e-05,1.0418218e-05,0.00152992,0.007420274,1.0924421e-08,5.123446e-07,1.9282915e-07,3.0070638e-08
0.9964496,3.2849013e-05,3.4906004e-06,0.00014165117,0.0033721637,3.597684e-09,1.8317593e-07,5.6898827e-08,9.047752e-09
0.2979737,0.0001916439,7.44714e-05,2.9716843e-05,0.7017297,2.0718145e-08,5.580986e-07,1.9752403e-07,5.5585353e-08
0.997617,2.4350089e-05,1.7081737e-05,0.0010717622,0.0012688914,9.094533e-09,6.346338e-07,1.8617372e-07,3.0071828e-08
0.77780366,0.0003279471,1.4145835e-05,0.004881698,0.21697056,3.8056225e-08,1.267493e-06,5.434699e-07,9.193622e-08
0.6662589,1.0596001e-05,1.0214468e-05,0.00012510893,0.333595,4.6343835e-09,1.7302818e-07,6.885185e-08,1.33020714e-08
0.5344504,0.004398852,0.12192381,0.011736242,0.32739002,8.417724e-06,5.0855888e-05,2.9356517e-05,1.2012004e-05
0.7667753,4.961882e-06,1.2118923e-06,9.323661e-05,0.23312524,1.0131103e-09,7.0209644e-08,2.081927e-08,3.5883572e-09
0.7454783,6.667635e-07,6.3199373e-06,4.740844e-05,0.25446737,2.6850944e-10,3.8079744e-08,7.875741e-09,1.6170197e-09
0.81924194,1.6801921e-05,0.0002602232,0.012469475,0.16800818,6.3505915e-08,2.1239812e-06,8.5972886e-07,1.7073171e-07
0.983978,3.4851557e-06,8.183936e-06,6.749405e-05,0.01594276,1.2664555e-09,9.324776e-08,2.6717613e-08,4.5107735e-09
0.7081746,0.054095346,0.022827433,0.015670866,0.19911045,1.0334834e-05,6.0204675e-05,3.532671e-05,1.5449665e-05
0.78792685,5.2223506e-05,6.905798e-06,0.00037940513,0.21163416,8.30656e-09,3.465038e-07,1.2212921e-07,2.7379343e-08
0.76730853,0.00021399811,4.3260106e-06,0.0024363953,0.23003542,2.0320723e-08,8.763714e-07,3.302189e-07,4.2943636e-08
0.983052,5.3900944e-06,4.1086096e-07,0.00015727787,0.016784828,4.2161485e-10,3.986698e-08,1.2704516e-08,1.5530007e-09
